Time@Axial Accel (Gs),Axial Accel (Gs),bILBA,Time@Lateral Accel (Gs),Lateral Accel (Gs),bILBA
60.9712,0.89,b1111,121.942,0.43,b1111
60.9738,0.68,b1111,121.948,0.87,b1111
60.9762,0.82,b1111,121.952,1.4,b1111
60.9787,0.82,b1111,121.957,1.22,b1111
60.9813,0.82,b1111,121.963,1.57,b1111
60.9837,0.89,b1111,121.967,1.83,b1111
60.9863,0.89,b1111,121.973,1.92,b1111
60.9888,0.89,b1111,121.978,2.27,b1111
60.9912,0.96,b1111,121.982,2.27,b1111
60.9938,0.89,b1111,121.988,2.1,b1111
60.9963,0.89,b1111,121.993,2.45,b1111
60.9987,0.89,b1111,121.997,2.8,b1111
61.0013,1.1,b1111,122.003,2.97,b1111
61.0037,1.03,b1111,122.007,2.97,b1111
61.0062,0.89,b1111,122.012,3.24,b1111
61.0088,1.1,b1111,122.018,3.15,b1111
61.0112,0.96,b1111,122.022,3.5,b1111
61.0137,1.03,b1111,122.027,3.5,b1111
61.0163,1.1,b1111,122.033,3.67,b1111
61.0187,1.03,b1111,122.037,3.76,b1111
61.0213,1.17,b1111,122.043,3.76,b1111
61.0238,1.17,b1111,122.048,4.02,b1111
61.0262,1.17,b1111,122.052,4.02,b1111
61.0288,1.17,b1111,122.058,4.02,b1111
61.0313,1.17,b1111,122.063,4.29,b1111
61.0337,1.17,b1111,122.067,4.37,b1111
61.0363,1.24,b1111,122.073,4.37,b1111
61.0387,1.24,b1111,122.077,4.9,b1111
61.0412,1.24,b1111,122.082,4.9,b1111
61.0438,1.24,b1111,122.088,4.64,b1111
61.0462,1.24,b1111,122.092,4.72,b1111
61.0488,1.31,b1111,122.098,4.9,b1111
61.0513,1.17,b1111,122.103,5.07,b1111
61.0537,1.31,b1111,122.107,4.64,b1111
61.0563,1.24,b1111,122.113,3.15,b1111
61.0588,1.17,b1111,122.118,4.9,b1111
61.0612,1.17,b1111,122.122,5.6,b1111
61.0638,1.17,b1111,122.128,4.2,b1111
61.0662,1.17,b1111,122.132,3.94,b1111
61.0687,1.17,b1111,122.137,4.64,b1111
61.0713,1.17,b1111,122.143,4.2,b1111
61.0737,1.17,b1111,122.147,3.67,b1111
61.0762,1.24,b1111,122.152,3.32,b1111
61.0788,1.31,b1111,122.158,3.59,b1111
61.0812,1.31,b1111,122.162,3.67,b1111
61.0838,1.24,b1111,122.168,3.94,b1111
61.0863,1.24,b1111,122.173,4.64,b1111
61.0887,1.17,b1111,122.177,4.9,b1111
61.0913,1.17,b1111,122.183,4.9,b1111
61.0938,1.17,b1111,122.188,5.07,b1111
61.0962,1.17,b1111,122.192,5.42,b1111
61.0988,1.17,b1111,122.198,5.42,b1111
61.1012,1.31,b1111,122.202,5.6,b1111
61.1037,1.24,b1111,122.207,5.42,b1111
61.1063,1.24,b1111,122.213,5.34,b1111
61.1087,1.38,b1111,122.217,5.16,b1111
61.1113,1.03,b1111,122.223,5.25,b1111
61.1138,1.38,b1111,122.228,5.16,b1111
61.1162,1.24,b1111,122.232,4.99,b1111
61.1188,1.24,b1111,122.238,4.9,b1111
61.1213,1.24,b1111,122.243,4.9,b1111
61.1237,1.24,b1111,122.247,4.99,b1111
61.1263,1.31,b1111,122.253,4.99,b1111
61.1287,1.38,b1111,122.257,4.46,b1111
61.1312,1.59,b1111,122.262,4.11,b1111
61.1338,1.38,b1111,122.268,4.02,b1111
61.1362,1.1,b1111,122.272,4.02,b1111
61.1387,1.1,b1111,122.277,3.85,b1111
61.1413,1.17,b1111,122.283,3.67,b1111
61.1437,1.31,b1111,122.287,3.32,b1111
61.1463,1.17,b1111,122.293,3.15,b1111
61.1488,1.17,b1111,122.298,3.24,b1111
61.1512,1.31,b1111,122.302,2.8,b1111
61.1538,1.31,b1111,122.308,2.53,b1111
61.1563,1.31,b1111,122.313,2.1,b1111
61.1587,1.17,b1111,122.317,1.83,b1111
61.1613,1.17,b1111,122.323,1.66,b1111
61.1637,1.17,b1111,122.327,1.75,b1111
61.1662,1.17,b1111,122.332,1.75,b1111
61.1688,1.1,b1111,122.338,1.66,b1111
61.1712,1.1,b1111,122.342,1.66,b1111
61.1738,1.1,b1111,122.348,1.75,b1111
61.1763,1.17,b1111,122.353,1.75,b1111
61.1787,1.1,b1111,122.357,1.57,b1111
61.1813,0.96,b1111,122.363,1.4,b1111
61.1838,1.1,b1111,122.368,1.31,b1111
61.1862,1.03,b1111,122.372,1.4,b1111
61.1888,1.1,b1111,122.378,1.4,b1111
61.1912,0.96,b1111,122.382,1.22,b1111
61.1937,1.03,b1111,122.387,1.22,b1111
61.1963,1.03,b1111,122.393,1.05,b1111
61.1987,0.96,b1111,122.397,1.05,b1111
61.2012,0.96,b1111,122.402,0.96,b1111
61.2038,0.96,b1111,122.408,0.87,b1111
61.2062,0.89,b1111,122.412,0.7,b1111
61.2088,0.89,b1111,122.418,0.7,b1111
61.2113,0.89,b1111,122.423,0.7,b1111
61.2137,0.89,b1111,122.427,0.7,b1111
61.2163,0.89,b1111,122.433,0.52,b1111
61.2188,0.89,b1111,122.438,0.35,b1111
61.2212,0.89,b1111,122.442,0.26,b1111
61.2238,0.82,b1111,122.448,0.26,b1111
61.2262,0.68,b1111,122.452,0.35,b1111
61.2287,0.75,b1111,122.457,0.35,b1111
61.2313,0.61,b1111,122.463,0.08,b1111
61.2337,0.68,b1111,122.467,0.17,b1111
61.2363,0.61,b1111,122.473,0.08,b1111
61.2388,0.61,b1111,122.478,0.08,b1111
61.2412,0.61,b1111,122.482,0.08,b1111
61.2438,0.54,b1111,122.488,0.08,b1111
61.2463,0.47,b1111,122.493,0,b1111
61.2487,0.54,b1111,122.497,0,b1111
61.2513,0.47,b1111,122.503,0,b1111
61.2537,0.54,b1111,122.507,0,b1111
61.2562,0.4,b1111,122.512,0.17,b1111
61.2588,0.4,b1111,122.518,0.17,b1111
61.2612,0.33,b1111,122.522,0.17,b1111
61.2637,0.4,b1111,122.527,0.17,b1111
61.2663,0.4,b1111,122.533,0.17,b1111
61.2687,0.47,b1111,122.537,0.35,b1111
61.2713,0.26,b1111,122.543,0.43,b1111
61.2738,0.33,b1111,122.548,0.43,b1111
61.2762,0.26,b1111,122.552,0.43,b1111
61.2788,0.26,b1111,122.558,0.35,b1111
61.2813,0.26,b1111,122.563,0.17,b1111
61.2837,0.19,b1111,122.567,-0.17,b1111
61.2863,0.19,b1111,122.573,0,b1111
61.2887,0.12,b1111,122.577,-0.52,b1111
61.2912,0.19,b1111,122.582,-0.35,b1111
61.2938,0.05,b1111,122.588,-0.43,b1111
61.2962,0.05,b1111,122.592,0,b1111
61.2988,-0.02,b1111,122.598,0.35,b1111
61.3013,0.05,b1111,122.603,0.7,b1111
61.3037,0.05,b1111,122.607,0.7,b1111
61.3063,0.05,b1111,122.613,0.7,b1111
61.3088,-0.02,b1111,122.618,-1.4,b1111
61.3112,-0.02,b1111,122.622,-1.75,b1111
61.3138,-0.02,b1111,122.628,-1.4,b1111
61.3162,-0.09,b1111,122.632,-1.05,b1111
61.3187,-0.09,b1111,122.637,-0.7,b1111
61.3213,-0.09,b1111,122.643,-0.52,b1111
61.3237,-0.09,b1111,122.647,0,b1111
61.3262,-0.23,b1111,122.652,0.17,b1111
61.3288,-0.23,b1111,122.658,0.7,b1111
61.3312,-0.23,b1111,122.662,0.52,b1111
61.3338,-0.16,b1111,122.668,0.96,b1111
61.3363,-0.09,b1111,122.673,1.4,b1111
61.3387,-0.09,b1111,122.677,1.57,b1111
61.3413,-0.23,b1111,122.683,1.75,b1101
61.3438,-0.23,b1111,122.688,1.83,b1101
61.3462,-0.23,b1111,122.692,2.18,b1101
61.3488,-0.23,b1111,122.698,2.27,b1101
61.3512,-0.37,b1111,122.702,2.45,b1101
61.3537,-0.79,b1111,122.707,2.53,b1101
61.3563,-0.37,b1111,122.713,2.8,b1101
61.3587,-0.37,b1111,122.717,2.8,b1101
61.3613,-0.37,b1111,122.723,2.8,b1101
61.3638,-0.37,b1111,122.728,2.8,b1101
61.3662,-0.79,b1111,122.732,2.8,b1101
61.3688,-0.51,b1111,122.738,2.62,b1101
61.3713,-0.72,b1111,122.743,2.89,b1101
61.3737,-0.79,b1111,122.747,3.32,b1101
61.3763,-0.93,b1111,122.753,2.97,b1101
61.3787,-0.79,b1111,122.757,2.8,b1101
61.3812,-0.86,b1111,122.762,3.15,b1101
61.3838,-0.86,b1111,122.768,2.97,b1101
61.3862,-0.93,b1111,122.772,2.8,b1101
61.3887,-0.86,b1111,122.777,2.97,b1101
61.3913,-0.86,b1111,122.783,2.62,b1101
61.3937,-0.79,b1111,122.787,2.62,b1101
61.3963,-0.93,b1111,122.793,2.27,b1101
61.3988,-0.79,b1111,122.798,1.92,b1101
61.4012,-0.79,b1111,122.802,1.57,b1101
61.4038,-0.72,b1111,122.808,1.13,b1101
61.4063,-0.51,b1111,122.813,0.7,b1101
61.4087,-0.79,b1111,122.817,0,b1101
61.4113,-0.86,b1111,122.823,0,b1101
61.4137,-0.79,b1111,122.827,-0.35,b1101
61.4162,-0.93,b1111,122.832,-0.7,b1101
61.4188,-0.93,b1111,122.838,-0.96,b1101
61.4212,-0.86,b1111,122.842,-1.4,b1101
61.4238,-0.93,b1111,122.848,-1.57,b1101
61.4263,-0.93,b1111,122.853,-1.66,b1101
61.4287,-0.93,b1111,122.857,-1.57,b1101
61.4313,-0.93,b1111,122.863,-1.05,b1101
61.4338,-0.93,b1111,122.868,-1.05,b1101
61.4362,-0.93,b1111,122.872,-1.05,b1101
61.4388,-1,b1111,122.878,-0.87,b1101
61.4412,-0.93,b1111,122.882,-0.7,b1111
61.4437,-0.93,b1111,122.887,-0.7,b1111
61.4463,-1,b1111,122.893,-0.35,b1111
61.4487,-1.07,b1111,122.897,1.4,b1111
61.4512,-1.07,b1111,122.902,0.43,b1111
61.4538,-1.07,b1111,122.908,0.35,b1111
61.4562,-1.07,b1111,122.912,0.35,b1111
61.4588,-1.07,b1111,122.918,0.52,b1111
61.4613,-1.07,b1111,122.923,0.7,b1111
61.4637,-1.07,b1111,122.927,0.87,b1111
61.4663,-1.14,b1111,122.933,1.05,b1111
61.4688,-1.14,b1111,122.938,1.05,b1111
61.4712,-1.07,b1111,122.942,0.87,b1111
61.4738,-1.14,b1111,122.948,1.05,b1111
61.4762,-1.14,b1111,122.952,1.22,b1111
61.4787,-1.29,b1111,122.957,1.22,b1111
61.4813,-1.22,b1111,122.963,1.05,b1111
61.4837,-1.22,b1111,122.967,1.13,b1111
61.4863,-1.29,b1111,122.973,1.05,b1111
61.4888,-1.36,b1111,122.978,1.05,b1111
61.4912,-1.29,b1111,122.982,0.87,b1111
61.4938,-1.22,b1111,122.988,0.87,b1111
61.4963,-1.29,b1111,122.993,0.87,b1111
61.4987,-1.22,b1111,122.997,0.7,b1111
61.5013,-1.29,b1111,123.003,0.43,b1111
61.5037,-1.36,b1111,123.007,0.35,b1111
61.5062,-1.36,b1111,123.012,0.17,b1111
61.5088,-1.29,b1111,123.018,0,b1111
61.5112,-1.36,b1111,123.022,0,b1111
61.5137,-1.36,b1111,123.027,0,b1111
61.5163,-1.43,b1111,123.033,0,b1111
61.5187,-1.29,b1111,123.037,0,b1111
61.5213,-1.36,b1111,123.043,0,b1111
61.5238,-1.29,b1111,123.048,0,b1111
61.5262,-1.36,b1111,123.052,0,b1111
61.5288,-1.22,b1111,123.058,-0.08,b1111
61.5313,-1.36,b1111,123.063,0,b1111
61.5337,-1.36,b1111,123.067,-0.17,b1111
61.5363,-1.22,b1111,123.073,0,b1111
61.5387,-1.29,b1111,123.077,0.08,b1111
61.5412,-1.22,b1111,123.082,0,b1111
61.5438,-1.22,b1111,123.088,0.08,b1111
61.5462,-1.36,b1111,123.092,0,b1111
61.5488,-1.29,b1111,123.098,0.08,b1111
61.5513,-1.29,b1111,123.103,0.17,b1111
61.5537,-1.36,b1111,123.107,0.08,b1111
61.5563,-1.36,b1111,123.113,0.17,b1111
61.5588,-1.14,b1111,123.118,0.26,b1111
61.5612,-1.36,b1111,123.122,0.35,b1111
61.5638,-1.29,b1111,123.128,0.35,b1111
61.5662,-1.14,b1111,123.132,0.43,b1111
61.5687,-1.29,b1111,123.137,0.26,b1111
61.5713,-1.22,b1111,123.143,0.17,b1111
61.5737,-1.07,b1111,123.147,0.35,b1111
61.5762,-1.07,b1111,123.152,0.7,b1111
61.5788,-1.07,b1111,123.158,1.05,b1111
61.5812,-1.07,b1111,123.162,1.05,b1111
61.5838,-1.07,b1111,123.168,1.75,b1111
61.5863,-1.07,b1111,123.173,3.06,b1111
61.5887,-1.07,b1111,123.177,4.2,b1111
61.5913,-1.07,b1111,123.183,3.85,b1111
61.5938,-1.07,b1111,123.188,3.5,b1111
61.5962,-1,b1111,123.192,3.5,b1111
61.5988,-1,b1111,123.198,3.85,b1111
61.6012,-0.93,b1111,123.202,4.29,b1111
61.6037,-0.93,b1111,123.207,4.29,b1111
61.6063,-0.93,b1111,123.213,4.2,b1111
61.6087,-0.86,b1111,123.217,3.85,b1111
61.6113,-0.86,b1111,123.223,3.67,b1111
61.6138,-0.93,b1111,123.228,3.67,b1111
61.6162,-0.86,b1111,123.232,3.94,b1111
61.6188,-0.79,b1111,123.238,3.32,b1111
61.6213,-0.86,b1111,123.243,3.15,b1111
61.6237,-0.51,b1111,123.247,2.8,b1111
61.6263,-0.79,b1111,123.253,2.36,b1111
61.6287,-0.37,b1111,123.257,2.45,b1111
61.6312,-0.23,b1111,123.262,2.1,b1111
61.6338,-0.23,b1111,123.268,1.66,b1111
61.6362,-0.23,b1111,123.272,1.75,b1111
61.6387,-0.23,b1111,123.277,1.48,b1111
61.6413,-0.09,b1111,123.283,1.57,b1111
61.6437,-0.16,b1111,123.287,1.66,b1111
61.6463,-0.09,b1111,123.293,1.92,b1111
61.6488,-0.02,b1111,123.298,2.27,b1111
61.6512,-0.02,b1111,123.302,2.53,b1111
61.6538,-0.02,b1111,123.308,2.53,b1111
61.6563,-0.02,b1111,123.313,2.45,b1111
61.6587,0.05,b1111,123.317,2.53,b1111
61.6613,-0.02,b1111,123.323,2.8,b1111
61.6637,0.05,b1111,123.327,2.8,b1111
61.6662,0.05,b1111,123.332,2.62,b1111
61.6688,0.12,b1111,123.338,2.53,b1111
61.6712,0.12,b1111,123.342,2.27,b1111
61.6738,0.26,b1111,123.348,2.27,b1111
61.6763,0.33,b1111,123.353,2.18,b1111
61.6787,0.26,b1111,123.357,2.1,b1111
61.6813,0.33,b1111,123.363,2.1,b1111
61.6838,0.33,b1111,123.368,1.92,b1111
61.6862,0.4,b1111,123.372,1.83,b1111
61.6888,0.47,b1111,123.378,1.92,b1111
61.6912,0.47,b1111,123.382,1.83,b1111
61.6937,0.54,b1111,123.387,1.66,b1111
61.6963,0.61,b1111,123.393,1.57,b1111
61.6987,0.68,b1111,123.397,1.75,b1111
61.7012,0.68,b1111,123.402,1.75,b1111
61.7038,0.61,b1111,123.408,2.1,b1111
61.7062,0.61,b1111,123.412,2.1,b1111
61.7088,0.61,b1111,123.418,1.92,b1111
61.7113,0.61,b1111,123.423,1.48,b1111
61.7137,0.68,b1111,123.427,1.4,b1111
61.7163,0.68,b1111,123.433,1.05,b1111
61.7188,0.68,b1111,123.438,0.87,b1111
61.7212,0.82,b1111,123.442,0.43,b1111
61.7238,0.82,b1111,123.448,0,b1111
61.7262,0.68,b1111,123.452,-0.17,b1111
61.7287,0.82,b1111,123.457,-0.26,b1111
61.7313,0.89,b1111,123.463,-0.96,b1111
61.7337,0.89,b1111,123.467,-1.75,b1111
61.7363,0.89,b1111,123.473,-2.1,b1111
61.7388,0.89,b1111,123.478,-2.45,b1111
61.7412,0.89,b1111,123.482,-2.71,b1111
61.7438,0.89,b1111,123.488,-2.71,b1111
61.7463,0.82,b1111,123.493,-2.97,b1111
61.7487,0.89,b1111,123.497,-3.41,b1111
61.7513,0.89,b1111,123.503,-3.15,b1111
61.7537,0.89,b1111,123.507,-3.06,b1111
61.7562,0.89,b1111,123.512,-3.41,b1111
61.7588,0.89,b1111,123.518,-3.15,b1111
61.7612,0.89,b1111,123.522,-3.15,b1111
61.7637,0.89,b1111,123.527,-2.97,b1111
61.7663,0.89,b1111,123.533,-3.15,b1111
61.7687,0.89,b1111,123.537,-2.8,b1111
61.7713,0.89,b1111,123.543,-2.62,b1111
61.7738,0.89,b1111,123.548,-2.36,b1111
61.7762,0.89,b1111,123.552,-2.1,b1111
61.7788,0.89,b1111,123.558,-1.75,b1111
61.7813,0.89,b1111,123.563,-1.4,b1111
61.7837,0.89,b1111,123.567,-1.05,b1111
61.7863,0.82,b1111,123.573,-0.87,b1111
61.7887,0.82,b1111,123.577,-0.52,b1111
61.7912,0.82,b1111,123.582,-0.35,b1111
61.7938,0.82,b1111,123.588,-0.17,b1111
61.7962,0.75,b1111,123.592,0.08,b1111
61.7988,0.82,b1111,123.598,0.17,b1111
61.8013,0.61,b1111,123.603,0.35,b1111
61.8037,0.61,b1111,123.607,0.52,b1111
61.8063,0.54,b1111,123.613,0.7,b1111
61.8088,0.54,b1111,123.618,0.7,b1111
61.8112,0.4,b1111,123.622,1.05,b1111
61.8138,0.54,b1111,123.628,1.05,b1111
61.8162,0.47,b1111,123.632,1.05,b1111
61.8187,0.47,b1111,123.637,0.96,b1111
61.8213,0.4,b1111,123.643,1.05,b1111
61.8237,0.33,b1111,123.647,1.05,b1111
61.8262,0.19,b1111,123.652,0.87,b1111
61.8288,0.19,b1111,123.658,0.87,b1111
61.8312,0.12,b1111,123.662,0.52,b1111
61.8338,0.12,b1111,123.668,0.52,b1111
61.8363,0.19,b1111,123.673,0.43,b1111
61.8387,0.19,b1111,123.677,0.17,b1111
61.8413,0.12,b1111,123.683,0.08,b1111
61.8438,0.05,b1111,123.688,0,b1111
61.8462,0.05,b1111,123.692,-0.17,b1111
61.8488,0.05,b1111,123.698,-0.35,b1111
61.8512,0.05,b1111,123.702,-0.43,b1111
61.8537,-0.02,b1111,123.707,-0.7,b1111
61.8563,-0.23,b1111,123.713,-0.7,b1111
61.8587,-0.23,b1111,123.717,-0.7,b1111
61.8613,-0.23,b1111,123.723,-0.7,b1111
61.8638,-0.23,b1111,123.728,-0.87,b1111
61.8662,-0.23,b1111,123.732,-0.96,b1111
61.8688,-0.23,b1111,123.738,-1.4,b1111
61.8713,-0.37,b1111,123.743,-1.4,b1111
61.8737,-0.37,b1111,123.747,-1.4,b1111
61.8763,-0.23,b1111,123.753,-1.05,b1111
61.8787,-0.37,b1111,123.757,-1.05,b1111
61.8812,-0.23,b1111,123.762,-1.57,b1111
61.8838,-0.72,b1111,123.768,-1.4,b1111
61.8862,-0.86,b1111,123.772,-1.4,b1111
61.8887,-0.93,b1111,123.777,-1.48,b1111
61.8913,-0.93,b1111,123.783,-1.48,b1111
61.8937,-0.93,b1111,123.787,-1.4,b1111
61.8963,-0.93,b1111,123.793,-1.05,b1111
61.8988,-1,b1111,123.798,-1.05,b1111
61.9012,-0.93,b1111,123.802,-0.87,b1111
61.9038,-1.07,b1111,123.808,-0.87,b1111
61.9063,-0.93,b1111,123.813,-1.05,b1111
61.9087,-1.07,b1111,123.817,-0.87,b1111
61.9113,-1.07,b1111,123.823,-0.87,b1111
61.9137,-1.14,b1111,123.827,-0.7,b1111
61.9162,-1.14,b1111,123.832,-0.7,b1111
61.9188,-1.07,b1111,123.838,-0.7,b1111
61.9212,-1.07,b1111,123.842,-0.61,b1111
61.9238,-1.22,b1111,123.848,-0.43,b1111
61.9263,-1.29,b1111,123.853,-0.26,b1111
61.9287,-1.29,b1111,123.857,-0.17,b1111
61.9313,-1.29,b1111,123.863,0,b1111
61.9338,-1.22,b1111,123.868,0.17,b1111
61.9362,-1.29,b1111,123.872,0.26,b1111
61.9388,-1.22,b1111,123.878,0.35,b1111
61.9412,-1.36,b1111,123.882,0.7,b1111
61.9437,-1.36,b1111,123.887,0.7,b1111
61.9463,-1.22,b1111,123.893,0.7,b1111
61.9487,-1.22,b1111,123.897,0.7,b1111
61.9512,-1.29,b1111,123.902,0.7,b1111
61.9538,-1.36,b1111,123.908,0.7,b1111
61.9562,-1.43,b1111,123.912,0.7,b1111
61.9588,-1.36,b1111,123.918,0.7,b1111
61.9613,-1.36,b1111,123.923,0.7,b1111
61.9637,-1.43,b1111,123.927,1.05,b1111
61.9663,-1.36,b1111,123.933,0.7,b1111
61.9688,-1.5,b1111,123.938,0.7,b1111
61.9712,-1.5,b1111,123.942,0.7,b1111
61.9738,-1.57,b1111,123.948,0.7,b1111
61.9762,-1.5,b1111,123.952,0.7,b1111
61.9787,-1.57,b1111,123.957,0.7,b1111
61.9813,-1.5,b1111,123.963,0.7,b1111
61.9837,-1.5,b1111,123.967,0.7,b1111
61.9863,-1.57,b1111,123.973,0.78,b1111
61.9888,-1.5,b1111,123.978,0.7,b1111
61.9912,-1.64,b1111,123.982,0.7,b1111
61.9938,-1.64,b1111,123.988,0.7,b1111
61.9963,-1.71,b1111,123.993,0.7,b1111
61.9987,-1.57,b1111,123.997,0.7,b1111
62.0013,-1.64,b1111,124.003,0.7,b1111
62.0037,-1.64,b1111,124.007,0.7,b1111
62.0062,-1.64,b1111,124.012,0.78,b1111
62.0088,-1.64,b1111,124.018,0.7,b1111
62.0112,-1.36,b1111,124.022,0.7,b1111
62.0137,-1.43,b1111,124.027,0.7,b1111
62.0163,-1.57,b1111,124.033,0.87,b1111
62.0187,-1.5,b1111,124.037,0.87,b1111
62.0213,-1.57,b1111,124.043,0.87,b1111
62.0238,-1.43,b1111,124.048,0.96,b1111
62.0262,-1.64,b1111,124.052,1.05,b1111
62.0288,-1.43,b1111,124.058,1.13,b1111
62.0313,-1.64,b1111,124.063,1.05,b1111
62.0337,-1.5,b1111,124.067,1.13,b1111
62.0363,-1.5,b1111,124.073,1.13,b1111
62.0387,-1.64,b1111,124.077,1.05,b1111
62.0412,-1.43,b1111,124.082,1.05,b1111
62.0438,-1.43,b1111,124.088,1.22,b1111
62.0462,-1.43,b1111,124.092,1.22,b1111
62.0488,-1.43,b1111,124.098,1.22,b1111
62.0513,-1.43,b1111,124.103,1.4,b1111
62.0537,-1.36,b1111,124.107,1.4,b1111
62.0563,-1.43,b1111,124.113,1.4,b1111
62.0588,-1.5,b1111,124.118,1.4,b1111
62.0612,-1.43,b1111,124.122,1.48,b1111
62.0638,-1.36,b1111,124.128,1.48,b1111
62.0662,-1.43,b1111,124.132,1.57,b1111
62.0687,-1.43,b1111,124.137,1.57,b1111
62.0713,-1.36,b1111,124.143,1.57,b1111
62.0737,-1.57,b1111,124.147,1.57,b1111
62.0762,-1.43,b1111,124.152,1.57,b1111
62.0788,-1.36,b1111,124.158,1.57,b1111
62.0812,-1.29,b1111,124.162,1.48,b1111
62.0838,-1.36,b1111,124.168,1.66,b1111
62.0863,-1.36,b1111,124.173,1.66,b1111
62.0887,-1.29,b1111,124.177,1.66,b1111
62.0913,-1.29,b1111,124.183,1.75,b1111
62.0938,-1.22,b1111,124.188,1.75,b1111
62.0962,-1.22,b1111,124.192,1.75,b1111
62.0988,-1.22,b1111,124.198,1.66,b1111
62.1012,-1.14,b1111,124.202,1.57,b1111
62.1037,-1.07,b1111,124.207,1.57,b1111
62.1063,-1,b1111,124.213,1.48,b1111
62.1087,-1,b1111,124.217,1.57,b1111
62.1113,-1.07,b1111,124.223,1.48,b1111
62.1138,-1.07,b1111,124.228,1.4,b1111
62.1162,-1,b1111,124.232,1.22,b1111
62.1188,-1.07,b1111,124.238,1.4,b1111
62.1213,-1.07,b1111,124.243,1.22,b1111
62.1237,-1.07,b1111,124.247,1.22,b1111
62.1263,-0.93,b1111,124.253,1.13,b1111
62.1287,-1.07,b1111,124.257,1.13,b1111
62.1312,-1,b1111,124.262,1.13,b1111
62.1338,-0.93,b1111,124.268,0.87,b1111
62.1362,-0.86,b1111,124.272,0.87,b1111
62.1387,-0.86,b1111,124.277,0.87,b1111
62.1413,-0.86,b1111,124.283,0.78,b1111
62.1437,-0.51,b1111,124.287,0.78,b1111
62.1463,-0.51,b1111,124.293,0.7,b1111
62.1488,-0.79,b1111,124.298,0.61,b1111
62.1512,-0.72,b1111,124.302,0.7,b1111
62.1538,-0.23,b1111,124.308,0.52,b1111
62.1563,-0.37,b1111,124.313,0.43,b1111
62.1587,-0.23,b1111,124.317,0.52,b1111
62.1613,-0.37,b1111,124.323,0.43,b1111
62.1637,-0.23,b1111,124.327,0.35,b1111
62.1662,-0.23,b1111,124.332,0.35,b1111
62.1688,-0.23,b1111,124.338,0.35,b1111
62.1712,-0.37,b1111,124.342,0.35,b1111
62.1738,-0.23,b1111,124.348,0.35,b1111
62.1763,-0.16,b1111,124.353,0.26,b1111
62.1787,-0.09,b1111,124.357,0.17,b1111
62.1813,-0.23,b1111,124.363,0.17,b1111
62.1838,-0.16,b1111,124.368,0.08,b1111
62.1862,-0.09,b1111,124.372,0.08,b1111
62.1888,-0.02,b1111,124.378,0.08,b1111
62.1912,-0.02,b1111,124.382,0.08,b1111
62.1937,-0.02,b1111,124.387,0,b1111
62.1963,0.05,b1111,124.393,0,b1111
62.1987,-0.09,b1111,124.397,0.08,b1111
62.2012,-0.02,b1111,124.402,0,b1111
62.2038,-0.02,b1111,124.408,0.08,b1111
62.2062,0.05,b1111,124.412,0.08,b1111
62.2088,0.05,b1111,124.418,0.08,b1111
62.2113,0.05,b1111,124.423,0.17,b1111
62.2137,0.05,b1111,124.427,0.26,b1111
62.2163,0.05,b1111,124.433,0.35,b1111
62.2188,0.05,b1111,124.438,0.43,b1111
62.2212,0.05,b1111,124.442,0.7,b1111
62.2238,0.05,b1111,124.448,0.7,b1111
62.2262,0.05,b1111,124.452,0.7,b1111
62.2287,0.05,b1111,124.457,0.7,b1111
62.2313,0.19,b1111,124.463,0.78,b1111
62.2337,0.19,b1111,124.467,0.96,b1111
62.2363,0.05,b1111,124.473,1.05,b1111
62.2388,0.12,b1111,124.478,1.05,b1111
62.2412,0.05,b1111,124.482,1.22,b1111
62.2438,0.05,b1111,124.488,1.4,b1111
62.2463,0.05,b1111,124.493,1.4,b1111
62.2487,0.05,b1111,124.497,1.4,b1111
62.2513,0.05,b1111,124.503,1.57,b1111
62.2537,0.05,b1111,124.507,1.57,b1111
62.2562,0.05,b1111,124.512,1.4,b1111
62.2588,0.05,b1111,124.518,1.57,b1111
62.2612,0.05,b1111,124.522,1.57,b1111
62.2637,0.05,b1111,124.527,1.75,b1111
62.2663,0.12,b1111,124.533,1.4,b1111
62.2687,0.05,b1111,124.537,1.66,b1111
62.2713,0.05,b1111,124.543,1.48,b1111
62.2738,0.12,b1111,124.548,1.57,b1111
62.2762,0.05,b1111,124.552,1.22,b1111
62.2788,0.05,b1111,124.558,1.22,b1111
62.2813,0.12,b1111,124.563,1.13,b1111
62.2837,0.12,b1111,124.567,1.05,b1111
62.2863,0.26,b1111,124.573,0.96,b1111
62.2887,0.12,b1111,124.577,0.96,b1111
62.2912,0.19,b1111,124.582,0.87,b1111
62.2938,0.19,b1111,124.588,0.7,b1111
62.2962,0.12,b1111,124.592,0.7,b1111
62.2988,0.19,b1111,124.598,0.7,b1111
62.3013,0.05,b1111,124.603,0.7,b1111
62.3037,0.19,b1111,124.607,0.7,b1111
62.3063,0.12,b1111,124.613,0.7,b1111
62.3088,0.12,b1111,124.618,0.52,b1111
62.3112,0.05,b1111,124.622,0.7,b1111
62.3138,0.05,b1111,124.628,0.52,b1111
62.3162,0.12,b1111,124.632,0.43,b1111
62.3187,0.12,b1111,124.637,0.35,b1111
62.3213,0.05,b1111,124.643,0.35,b1111
62.3237,0.12,b1111,124.647,0.35,b1111
62.3262,0.19,b1111,124.652,0.52,b1111
62.3288,0.12,b1111,124.658,0.43,b1111
62.3312,0.12,b1111,124.662,0.43,b1111
