Time@Axial Accel (Gs),Axial Accel (Gs),bILBA,Time@Lateral Accel (Gs),Lateral Accel (Gs),bILBA
0.30625,17.55,b1100,0.6125,0.52,b1100
0.30875,17.27,b1100,0.6175,0.7,b1100
0.31125,19.1,b1100,0.6225,0.7,b1100
0.31375,20.65,b1100,0.6275,0.43,b1100
0.31625,-0.93,b1100,0.6325,0.35,b1100
0.31875,17.48,b1100,0.6375,0.35,b1100
0.32125,17.13,b1100,0.6425,0.7,b1100
0.32375,16.71,b1100,0.6475,0.52,b1100
0.32625,16.78,b1100,0.6525,0.52,b1100
0.32875,17.41,b1100,0.6575,0.43,b1100
0.33125,17.69,b1100,0.6625,0.43,b1100
0.33375,18.12,b1100,0.6675,0.61,b1100
0.33625,17.69,b1100,0.6725,0.52,b1100
0.33875,17.55,b1100,0.6775,0.52,b1100
0.34125,17.62,b1100,0.6825,0.7,b1100
0.34375,17.41,b1100,0.6875,0.52,b1100
0.34625,17.41,b1100,0.6925,0.52,b1100
0.34875,17.48,b1100,0.6975,0.7,b1100
0.35125,17.41,b1100,0.7025,0.52,b1100
0.35375,17.34,b1100,0.7075,0.43,b1100
0.35625,17.62,b1100,0.7125,0.7,b1100
0.35875,17.9,b1100,0.7175,0.43,b1100
0.36125,17.76,b1100,0.7225,0.7,b1100
0.36375,17.76,b1100,0.7275,0.52,b1100
0.36625,17.69,b1100,0.7325,0.7,b1100
0.36875,17.69,b1100,0.7375,0.43,b1100
0.37125,17.62,b1100,0.7425,0.52,b1100
0.37375,17.9,b1100,0.7475,0.43,b1100
0.37625,17.83,b1100,0.7525,0.7,b1100
0.37875,17.69,b1100,0.7575,0.7,b1100
0.38125,17.9,b1100,0.7625,0.7,b1100
0.38375,17.55,b1100,0.7675,0.7,b1100
0.38625,17.48,b1100,0.7725,0.52,b1100
0.38875,17.62,b1100,0.7775,0.52,b1100
0.39125,17.69,b1100,0.7825,0.43,b1100
0.39375,17.34,b1100,0.7875,0.52,b1100
0.39625,17.34,b1100,0.7925,0.7,b1100
0.39875,17.69,b1100,0.7975,0.7,b1100
0.40125,17.83,b1100,0.8025,0.7,b1100
0.40375,17.76,b1100,0.8075,0.52,b1100
0.40625,17.62,b1100,0.8125,0.7,b1100
0.40875,17.69,b1100,0.8175,0.7,b1100
0.41125,17.76,b1100,0.8225,0.78,b1100
0.41375,17.76,b1100,0.8275,0.7,b1100
0.41625,17.69,b1100,0.8325,0.87,b1100
0.41875,17.55,b1100,0.8375,0.7,b1100
0.42125,17.48,b1100,0.8425,0.78,b1100
0.42375,17.62,b1100,0.8475,0.7,b1100
0.42625,17.97,b1100,0.8525,0.78,b1100
0.42875,17.69,b1100,0.8575,0.7,b1100
0.43125,17.69,b1100,0.8625,0.7,b1100
0.43375,17.69,b1100,0.8675,0.52,b1100
0.43625,17.62,b1100,0.8725,0.52,b1100
0.43875,17.97,b1100,0.8775,0.78,b1100
0.44125,18.05,b1100,0.8825,0.52,b1100
0.44375,17.76,b1100,0.8875,0.87,b1100
0.44625,17.83,b1100,0.8925,0.7,b1100
0.44875,17.62,b1100,0.8975,0.78,b1100
0.45125,17.48,b1100,0.9025,0.52,b1100
0.45375,17.69,b1100,0.9075,0.7,b1100
0.45625,17.76,b1100,0.9125,0.52,b1100
0.45875,17.69,b1100,0.9175,0.96,b1100
0.46125,17.83,b1100,0.9225,0.7,b1100
0.46375,17.97,b1100,0.9275,0.7,b1100
0.46625,19.8,b1100,0.9325,0.78,b1100
0.46875,19.94,b1100,0.9375,0.7,b1100
0.47125,19.87,b1100,0.9425,0.78,b1100
0.47375,19.94,b1100,0.9475,0.43,b1100
0.47625,7.21,b1100,0.9525,0.7,b1100
0.47875,18.33,b1100,0.9575,0.26,b1100
0.48125,20.72,b1100,0.9625,0.78,b1100
0.48375,20.72,b1100,0.9675,0.52,b1100
0.48625,19.31,b1100,0.9725,0.87,b1100
0.48875,19.52,b1100,0.9775,0.7,b1100
0.49125,18.82,b1100,0.9825,0.52,b1100
0.49375,18.68,b1100,0.9875,0.43,b1100
0.49625,18.82,b1100,0.9925,0.35,b1100
0.49875,18.54,b1100,0.9975,0.52,b1100
0.50125,18.82,b1100,1.0025,0.7,b1100
0.50375,18.68,b1100,1.0075,0.78,b1100
0.50625,18.89,b1100,1.0125,0.7,b1100
0.50875,18.96,b1100,1.0175,0.52,b1100
0.51125,18.82,b1100,1.0225,0.52,b1100
0.51375,18.61,b1100,1.0275,0.43,b1100
0.51625,18.82,b1100,1.0325,0.78,b1100
0.51875,18.82,b1100,1.0375,0.7,b1100
0.52125,18.75,b1100,1.0425,0.7,b1100
0.52375,19.03,b1100,1.0475,0.52,b1100
0.52625,19.1,b1100,1.0525,0.43,b1100
